id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
b5b08ae1-2313-4ce8-b911-82ada3b71e7e,Amazon Titan G1 v2 (Standard),amazon-titan-g1-v2-standard,2024-08,bb5a4e55-7969-4ab4-8702-3b9fd6547dc2,Amazon,904,794.0,843.0,933,876,1006.0,917.0
71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,stable-diffusion-3-medium,2024-06,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,904,852.0,810.0,905,902,1053.0,916.0
396b7d29-0e17-4d0a-afef-ba4156836c04,Stable Diffusion 3 Large Turbo,stable-diffusion-3-large-turbo,2024-02,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,902,945.0,931.0,874,911,935.0,912.0
c61456b8-0763-4327-adf9-cc4f7cdee50e,Stable Diffusion 1.6,stable-diffusion-1-6,2023-11,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,899,931.0,928.0,884,882,1058.0,861.0
bbb167a8-2854-4985-9204-4dfcbf3f2950,Bria 3.2,bria-3-2,2025-07,95c9bc82-f015-4ed4-8da0-4729f2d14f09,Bria,889,744.0,950.0,916,866,975.0,901.0
b2a76bb0-47e8-4781-a497-1f942ca605c7,OmniGen V2,omnigen-v2,2025-06,d2928e1f-884a-4728-8d1c-d48db15c561d,VectorSpaceLab,889,893.0,890.0,896,872,970.0,925.0
e2ea165f-2357-440e-820c-03c237d0320f,SDXL Lightning,sdxl-lightning,2024-02,582174aa-90d5-4a43-9c4d-64dc0af57547,Bytedance,888,915.0,869.0,909,842,1015.0,810.0
c1ff7611-f6b4-4a26-96c1-0a00144946f4,Amazon Titan G1 (Standard),amazon-titan-g1-standard,2023-11,bb5a4e55-7969-4ab4-8702-3b9fd6547dc2,Amazon,885,803.0,770.0,928,842,989.0,881.0
41f427f0-d987-4189-a811-098baaac6397,Stable Diffusion XL 1.0,stable-diffusion-xl-1-0,2023-07,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,857,900.0,844.0,860,814,1042.0,763.0
73bcd079-f0cf-4dc9-ba28-9c8170d72538,Stable Diffusion 2.1,stable-diffusion-2-1,2022-12,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,720,623.0,613.0,754,673,926.0,621.0
5db3c143-21ef-4046-a9f3-9603c8297c18,DALLE 2,dalle-2,2022-09,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,708,498.0,586.0,738,685,906.0,655.0
9d5d83b1-4b8e-4477-b587-5b35133d4b9e,Janus Pro,janus-pro,2025-01,58b835bf-4c87-4f87-a846-df4b692c6e7d,DeepSeek,698,670.0,632.0,709,662,923.0,550.0
a9df4a85-bb58-4e9a-9d5d-4b9f562c9d61,Stable Diffusion 1.5,stable-diffusion-1-5,2022-10,fae49f90-2280-46b0-b364-40d25eb84564,Stability.ai,604,492.0,519.0,627,565,811.0,448.0
